id,name,latitude_degree,longitude_degree,elevation_m
221,Dodoma,-6.1722,35.7395,0
222,"Washington, D.C.",38.8951,-77.0364,0
223,Charlotte Amalie,18.3419,-64.9307,0
224,Montevideo,-34.8335,-56.1674,0
225,Tashkent,41.2647,69.2163,0
226,Port Vila,-17.7338,168.3219,0
227,Caracas,10.488,-66.8792,0
228,Hà Noi,21.0245,105.8412,0
229,Matu-Utu,-13.2816,-176.1745,0
230,El Aaiún,27.1532,-13.2014,0
231,Sana'a',15.3531,44.2078,0
232,Lusaka,-15.4134,28.2771,0
233,Harare,-17.8294,31.0539,0
