id,name,lat,lng,pop,capital_type,country
137,Monaco,43.7333,7.4167,38897,Capital,Monaco
138,Ulaanbaatar,47.9077,106.8832,1520381,Capital,Mongolia
139,Podgorica,42.4411,19.2636,177177,Capital,Montenegro
140,Brades Estate,16.7918,-62.2106,472,Capital,Montserrat
141,Rabat,34.0133,-6.8326,1846661,Capital,Morocco
142,Maputo,-25.9653,32.5892,1101771,Capital,Mozambique
143,Nay Pyi Taw,19.745,96.1297,500218,Capital,Myanmar
144,Windhoek,-22.5594,17.0832,404280,Capital,Namibia
145,Nauru,-0.5308,166.9112,11312,Capital,Nauru
146,Kathmandu,27.7017,85.3206,1329732,Capital,Nepal
147,Amsterdam,52.374,4.8897,1131690,Capital,Netherlands
148,Nouméa,-22.2763,166.4572,197787,Capital,New Caledonia
149,Wellington,-41.2866,174.7756,411346,Capital,New Zealand
150,Managua,12.1328,-86.2504,1047923,Capital,Nicaragua
151,Niamey,13.5137,2.1098,1213781,Capital,Niger
152,Abuja,9.0574,7.4898,2918518,Capital,Nigeria
153,Alofi,-19.0585,-169.9213,727,Capital,Niue
154,Saipan,15.2123,145.7545,50568,Capital,Northern Mariana Islands
155,Oslo,59.9127,10.7461,1012225,Capital,Norway
156,Masqat (Muscat),23.6139,58.5922,1446563,Capital,Oman
157,Islamabad,33.7035,73.0594,1061412,Capital,Pakistan
158,Koror,7.3426,134.4789,11410,Capital,Palau
159,Ciudad de Panamá (Panama City),8.9958,-79.5196,1783490,Capital,Panama
160,Port Moresby,-9.4431,147.1797,366862,Capital,Papua New Guinea
161,Asunción,-25.3007,-57.6359,3222199,Capital,Paraguay
162,Lima,-12.0432,-77.0282,10390607,Capital,Peru
163,Manila,14.6042,120.9822,13482468,Capital,Philippines
164,Warszawa (Warsaw),52.2298,21.0118,1767798,Capital,Poland
165,Lisboa (Lisbon),38.7169,-9.1399,2927316,Capital,Portugal
166,San Juan,18.4663,-66.1057,2454337,Capital,Puerto Rico
167,Ad-Dawhah (Doha),25.2747,51.5245,633401,Capital,Qatar
168,Seoul,37.5683,126.9778,9963497,Capital,Republic of Korea
169,Chişinău,47.0056,28.8575,509707,Capital,Republic of Moldova
170,Saint-Denis,-20.8823,55.4504,147209,Capital,Réunion
171,Bucuresti (Bucharest),44.4328,26.1043,1821380,Capital,Romania
172,Moskva (Moscow),55.755,37.6218,12409738,Capital,Russian Federation
173,Kigali,-1.9474,30.0579,1057836,Capital,Rwanda
174,Jamestown,-15.9387,-5.7168,603,Capital,Saint Helena
175,Basseterre,17.2948,-62.7261,14434,Capital,Saint Kitts and Nevis
176,Castries,14.006,-60.991,22258,Capital,Saint Lucia
177,Saint-Pierre,46.7738,-56.1815,5723,Capital,Saint Pierre and Miquelon
178,Kingstown,13.1587,-61.2248,26636,Capital,Saint Vincent and the Grenadines
179,Apia,-13.8333,-171.7667,36066,Capital,Samoa
180,San Marino,43.9333,12.45,4465,Capital,San Marino
181,São Tomé,0.3365,6.7273,80099,Capital,Sao Tome and Principe
182,Ar-Riyadh (Riyadh),24.6905,46.7096,6906595,Capital,Saudi Arabia
183,Dakar,14.6937,-17.4441,2978419,Capital,Senegal
184,Beograd (Belgrade),44.8176,20.4633,1389351,Capital,Serbia
185,Victoria,-4.6167,55.45,28091,Capital,Seychelles
186,Freetown,8.484,-13.2299,1135949,Capital,Sierra Leone
187,Singapore,1.2897,103.8501,5791901,Capital,Singapore
188,Philipsburg,18.026,-63.0458,40552,Capital,Sint Maarten (Dutch part)
189,Bratislava,48.1482,17.1067,429920,Capital,Slovakia
190,Ljubljana,46.0511,14.5051,286491,Capital,Slovenia
191,Honiara,-9.4333,159.95,81801,Capital,Solomon Islands
192,Muqdisho (Mogadishu),2.0416,45.3435,2081624,Capital,Somalia
193,Cape Town,-33.9258,18.4232,4430367,Legislative Capital,South Africa
194,Juba,4.8517,31.5825,368914,Capital,South Sudan
195,Madrid,40.4165,-3.7026,6497124,Capital,Spain
196,Colombo,6.9319,79.8478,599821,Capital,Sri Lanka
