o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
16,99,35.6,550,10.0,30,0,20,3355.6892429968884,3445.8163448642863,202.0675398252975,0,1.0822837041289408,1.0767786440126512,1.0803472291548897,1.113488084216507,1.4273796628567197,3.0,4.0,4.0,15.0,3.0,366,1088,2406,1601,1494,1364.9154521395683,7,34.0
12,132,35.6,550,10.0,50,0,20,3204.590330428654,3327.1242334175986,201.8832944293565,0,1.0856007917267603,1.0791945007282202,1.0849296849873078,1.112282816978317,1.4532160401017502,3.0,4.5,4.0,17.0,3.0,315,1008,2302,1373,1447,1287.6170944422743,6,33.0
12,132,35.6,550,10.0,40,0,20,3203.5466451032935,3325.7928732806804,201.90293107725014,0,1.0862223042882317,1.0790023860373839,1.0850221934065165,1.1124258226341304,1.4537155871505099,3.0,4.5,4.0,17.0,3.0,316,1085,2226,1593,1389,1295.228702088723,6,33.0
12,132,35.6,550,10.0,30,0,20,3198.241618624953,3319.881581609008,201.924834999579,0,1.087017700661127,1.0790023860373839,1.0850221934065165,1.1123838402517838,1.453794905665171,3.0,4.5,4.0,17.0,3.0,323,1069,2251,1575,1382,1291.512289038014,6.0,33.0
18,88,35.6,550,10.0,20,0,20,3433.9517325605125,3502.5597654842973,201.86890086289227,0,1.0833434384306397,1.07648750441615,1.0805788666479348,1.113073801429891,1.4233933415351696,3.0,4.0,3.5,14.0,3.0,344,1025,2530,1612,1514,1357.6070148037759,7.0,34.0
11,144,35.6,550,10.0,20,0,20,3141.307173079404,3258.0293778128453,201.8621929821041,0,1.084683864054745,1.0792021715158202,1.0864948591682857,1.112169750008532,1.4403717834001986,3.0,4.5,3.5,17.5,3.5,320,1032,2216,1571,1382,1254.107173882937,6.0,32.0
12,132,35.6,550,10.0,20,0,20,3190.5637939245994,3312.6086573251328,201.91046643833695,0,1.08668842420507,1.0792566191260538,1.0848351575107906,1.1122377383974558,1.4535506584345015,3.0,4.5,4.0,17.0,3.0,328,1068,2226,1569,1385,1286.0724402073386,6.0,33.0
18,88,35.6,550,10.0,50,0,20,3417.592300096285,3503.8431329771142,201.87885480174162,0,1.0833434384306397,1.0773055920288737,1.080370655286844,1.1131185056981194,1.4223016476230468,3.0,4.0,3.5,14.0,3.0,344,1084,2464,1608,1509,1335.5462207440344,7,34.0
16,99,35.6,550,10.0,50,0,20,3356.330484462423,3451.1750842440583,201.89987867277105,0,1.0822837041289408,1.0768596711197986,1.080400238292891,1.113938852640085,1.4269000739325433,3.0,4.0,4.0,15.0,3.0,359,1061,2412,1632,1496,1353.6653615361204,7.0,34.0
11,144,35.6,550,10.0,50,0,20,3137.547006438373,3265.9886218228044,201.87746908257185,0,1.084683864054745,1.0793410732975963,1.0865589043484223,1.1126957935692205,1.4402296725057078,3.0,4.5,3.5,17.0,3.5,335,1066,2208,1558,1392,1268.8422766069025,6.0,32.0
