o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
16,99,40.6,550,20.0,0,0,20,3576.396322351502,3640.1507292388947,142.89022835346572,2,1.9890760619389534,1.138371218332286,1.1552703938874687,1.1350946017185208,1.417442436592464,11.0,6.5,9.5,21.0,3.5,67,492,794,811,1067,1356.5698180854602,15.0,36
16,99,40.6,550,20.0,30,0,20,3562.7049824569117,3622.4169721396634,143.05220195888876,2,2.0068499481782442,1.13860625456629,1.1552895449702367,1.1349830180963691,1.4198017952148043,11.0,6.5,9.5,21.0,3.5,62,489,744,873,1074,1324.7312930697158,15.0,36
12,132,40.6,550,20.0,20,0,20,3449.9721631087905,3626.425855744365,142.16636933338256,2,2.234681440776642,1.1401629329792617,1.1710823908600427,1.1392150247546187,1.4285387888068262,14.0,8.0,11.5,26.0,4.0,74,536,687,885,1079,1357.1247937211558,15.0,38
12,132,40.6,550,20.0,50,0,20,3442.2858194556934,3587.0796901827907,142.03531304635754,2,2.2245448902443945,1.1401263787305074,1.1702770296518146,1.1392350755435157,1.4308212679013215,14.0,8.0,11.5,26.0,4.0,76,529,671,844,1096,1321.7654085846202,16.0,38
12,132,40.6,550,20.0,40,0,20,3429.366413504028,3593.1366145202005,142.0234123001992,2,2.2390362435618227,1.1402868585818946,1.1705209184633238,1.1389284771376251,1.4318336638234272,14.0,8.0,11.5,26.0,4.0,73,519,691,833,1079,1330.464864629108,16,38
12,132,40.6,550,20.0,0,0,20,3445.1439586446318,3594.0090291196816,142.26196391817047,2,2.2398413742810726,1.1397605108812794,1.1684040561577655,1.139129642104451,1.4269317139438162,14.0,8.0,11.5,26.0,4.0,74,493,670,869,1117,1346.3315721278977,15.0,37
12,132,40.6,550,20.0,10,0,20,3432.5816965504278,3598.6249448352974,142.0940630419507,2,2.2248976195103625,1.139770383381234,1.169918870866367,1.139137834776696,1.4271842809127504,14.0,8.0,11.5,26.0,4.0,76,507,659,848,1112,1344.8030404822969,15.0,38
12,132,40.6,550,20.0,30,0,20,3433.9046397431002,3605.4824661024245,142.06010580292715,2,2.246397587523849,1.139735433448274,1.1706048253910843,1.139058548286462,1.4308212679013215,14.0,8.0,11.5,26.0,4.0,80,510,672,856,1111,1348.5802488485665,16.0,38
11,144,40.6,550,20.0,40,0,20,3381.529239981565,3518.499464424048,142.8701498883263,2,2.2654707791536057,1.1462592874418656,1.1806160819924112,1.1464274360066358,1.4691947764404902,15.0,9.0,12.5,28.0,4.0,82,546,645,768,1136,1261.6716941669983,15,39
11,144,40.6,550,20.0,0,0,20,3396.506341777414,3536.1649116727563,142.98939635458757,2,2.282898228904001,1.1440425373455942,1.1803082191190395,1.1463617022436943,1.470108487993827,15.0,9.0,13.0,28.0,4.0,83,556,653,767,1092,1254.2068508016062,15,39
